Gname,Site,Location,Year,Season,Rep,RowBlock,ColBlock,DFL,PH,TN,BLAST,BLS,BLB,TUNGRO,YLD
Gen1,Site1,Loc1,Year1,DS,R1,1,1,93.34093644,95.64455377,13.50082801,5.926931425,4.559079398,6.490981661,4.302130533,5.990138056
Gen2,Site1,Loc1,Year1,DS,R1,2,1,95.6929366,105.6952268,11.86819826,4.060581924,5.432851139,3.527597281,4.245700342,6.778740866
Gen3,Site1,Loc1,Year1,DS,R1,3,1,90.98528681,125.056823,11.66515946,5.189188681,3.304883681,5.409409415,4.944698498,8.261679114
Gen4,Site1,Loc1,Year1,DS,R1,4,1,92.77777577,88.21144069,12.63386544,5.395804032,3.703864281,5.07056619,5.747581621,8.428335939
Gen5,Site1,Loc1,Year1,DS,R1,5,1,90.6691134,107.4477945,13.9402316,3.514109243,6.781742642,6.305745937,4.385166415,8.727769266
Gen6,Site1,Loc1,Year1,DS,R1,6,1,105.4138702,110.0655489,10.27735639,6.265361869,4.986811501,5.479887739,7.02748149,8.496920149
Gen7,Site1,Loc1,Year1,DS,R1,7,1,96.29114061,90.09920411,14.00473968,5.010527798,3.649389729,7.315368555,3.592102814,9.343033934
Gen8,Site1,Loc1,Year1,DS,R1,8,1,113.8660037,88.37130696,12.75908944,5.634746748,5.282658702,3.046980705,5.70003876,6.590743652
Gen9,Site1,Loc1,Year1,DS,R1,9,1,105.4690573,95.43012127,11.69832379,5.140947209,5.123505913,6.354036511,5.314920814,9.293841464
Gen10,Site1,Loc1,Year1,DS,R1,10,1,100.2592179,101.3626259,12.02673171,6.03461384,3.994055315,4.93597055,4.197183619,9.532635609
Gen11,Site1,Loc1,Year1,DS,R1,11,1,96.28562942,82.29624164,11.99299897,4.964831943,5.14093051,4.507639804,5.105960044,9.946020002
Gen12,Site1,Loc1,Year1,DS,R1,12,1,104.321878,84.61692738,10.14148442,4.384631513,4.817906582,5.408424954,5.94928963,8.280168646
Gen13,Site1,Loc1,Year1,DS,R1,13,1,91.3768963,101.2784073,11.92014769,5.488546333,4.463116541,5.244797056,4.600705771,8.941478481
Gen14,Site1,Loc1,Year1,DS,R1,14,1,107.3421735,121.1247503,12.12683268,5.070343587,6.841503797,4.480953752,4.327953774,8.080706015
Gen15,Site1,Loc1,Year1,DS,R1,15,1,101.1308377,114.065491,12.48320484,4.598528796,4.964586562,4.335617511,4.814455572,8.256307544
Gen16,Site1,Loc1,Year1,DS,R1,16,1,107.20549,100.3891812,12.06377639,3.982080813,5.526710149,2.823146299,3.441947873,8.870674023
Gen17,Site1,Loc1,Year1,DS,R1,17,1,97.51727451,96.53352263,10.85903552,3.53716304,6.10694256,4.62196279,2.565589924,8.081553634
Gen18,Site1,Loc1,Year1,DS,R1,18,1,108.8145997,95.71651236,10.98848802,4.288246349,6.083296352,2.688448111,4.102359343,8.758161727
Gen19,Site1,Loc1,Year1,DS,R1,19,1,109.3918705,95.80570889,14.20232524,4.358219006,5.353588592,5.256337063,4.22909654,9.231422626
Gen20,Site1,Loc1,Year1,DS,R1,20,1,109.3690428,99.35676869,10.22861746,4.602466493,5.763958603,5.477887788,5.05503244,8.555348077
Gen21,Site1,Loc1,Year1,DS,R1,1,2,108.0847681,97.77374855,10.74819455,4.983401395,5.317448379,7.521129671,4.81541763,8.49535809
Gen22,Site1,Loc1,Year1,DS,R1,2,2,107.7601966,88.53527788,10.69313236,6.113599776,5.093608297,4.407096433,6.10511721,10.20086627
Gen23,Site1,Loc1,Year1,DS,R1,3,2,88.81904684,108.0190908,12.56395388,4.094250627,4.694409092,5.300283291,3.54529339,8.723801866
Gen24,Site1,Loc1,Year1,DS,R1,4,2,100.9455465,104.5485819,12.26104327,5.905083864,5.318434945,6.099730132,5.874444396,9.351471834
Gen25,Site1,Loc1,Year1,DS,R1,5,2,110.2458807,101.3305542,11.66504958,5.619517401,5.791122676,5.405633459,5.347901976,8.42154817
Gen26,Site1,Loc1,Year1,DS,R1,6,2,98.21637931,103.6278368,13.63046241,5.081974307,4.929689293,4.090564935,4.50665943,9.089173865
Gen27,Site1,Loc1,Year1,DS,R1,7,2,96.61420202,86.5299229,13.63479333,4.990871951,5.403474593,6.435156717,6.286321057,7.727679224
Gen28,Site1,Loc1,Year1,DS,R1,8,2,100.6021837,101.649568,11.30154891,6.337237972,3.812303782,5.277966551,4.189003423,7.774204765
Gen29,Site1,Loc1,Year1,DS,R1,9,2,90.97517204,98.70022475,12.94492031,5.5394499,4.613234545,6.871043881,3.861313953,7.29797232
Gen30,Site1,Loc1,Year1,DS,R1,10,2,91.4163058,102.5717191,12.7579858,2.960655858,5.163851662,4.971096871,3.564474758,6.158281821
Gen31,Site1,Loc1,Year1,DS,R1,11,2,86.37285686,108.4527201,12.36435598,5.605215133,5.944880419,2.813226442,3.53681508,7.154982386
Gen32,Site1,Loc1,Year1,DS,R1,12,2,103.1331515,95.41099757,11.31289143,5.054191196,5.573707735,3.820704027,2.283871557,7.384593615
Gen33,Site1,Loc1,Year1,DS,R1,13,2,111.0046747,87.48864413,13.65571823,5.324504352,5.491875763,6.426107273,4.944929298,9.143136106
Gen34,Site1,Loc1,Year1,DS,R1,14,2,91.0906708,89.47938102,10.95647437,3.715029786,6.389919031,3.833376966,4.518719765,7.74079881
Gen35,Site1,Loc1,Year1,DS,R1,15,2,95.91462627,104.2353646,10.43555831,6.314041167,2.643806163,6.006475978,5.296506961,7.666336089
Gen36,Site1,Loc1,Year1,DS,R1,16,2,97.99982392,90.89231685,11.41068245,3.105981388,4.162482594,5.500037046,5.412924442,9.340848014
Gen37,Site1,Loc1,Year1,DS,R1,17,2,104.849188,91.1282925,12.23421128,3.839866392,6.090518778,5.672046913,5.149247984,8.394943319
Gen38,Site1,Loc1,Year1,DS,R1,18,2,105.7747276,94.3666003,12.72546959,5.964394338,5.323569466,4.915211843,5.40096235,7.460220773
Gen39,Site1,Loc1,Year1,DS,R1,19,2,109.8655748,106.3027976,11.98002652,5.059007536,6.746654177,5.020713989,4.306102102,7.334052052
Gen40,Site1,Loc1,Year1,DS,R1,20,2,103.5921178,112.3522495,11.87500553,3.582011654,4.384238587,6.485162412,5.418612102,9.296745641
Gen41,Site1,Loc1,Year1,DS,R1,1,3,105.93108,118.4150615,11.43889979,5.866097554,5.684204493,4.971399824,4.303323812,7.870701484
Gen42,Site1,Loc1,Year1,DS,R1,2,3,93.47772399,103.9418185,14.21150888,4.475375254,4.613148712,5.384182056,3.761378091,8.220559414
Gen43,Site1,Loc1,Year1,DS,R1,3,3,107.299431,99.58417389,12.67375221,4.960822127,3.731794211,4.497929562,5.022804088,6.235044445
Gen44,Site1,Loc1,Year1,DS,R1,4,3,90.10361771,97.93543381,11.36790334,4.822144664,5.016201669,4.998431767,5.583096016,7.310292497
Gen45,Site1,Loc1,Year1,DS,R1,5,3,124.0986274,99.50005167,11.63717862,5.436049723,5.781335553,5.925870638,4.290149458,7.539694844
Gen46,Site1,Loc1,Year1,DS,R1,6,3,106.8979134,102.7919514,12.56106551,5.442889035,3.887054843,4.244631627,7.341242636,8.080161143
Gen47,Site1,Loc1,Year1,DS,R1,7,3,108.1371347,102.3921025,12.247879,4.490976128,5.83540867,5.461132892,6.97406444,8.086556488
Gen48,Site1,Loc1,Year1,DS,R1,8,3,112.5063973,110.0776453,11.61234699,4.756854843,2.168284495,4.046682295,6.255042901,7.03763587
Gen49,Site1,Loc1,Year1,DS,R1,9,3,94.85611258,80.88088488,13.47258312,5.125229845,4.524292661,4.467829571,5.670069397,7.850929013
Gen50,Site1,Loc1,Year1,DS,R1,10,3,90.76484136,99.23885618,11.92230787,4.535249576,5.265358727,5.175343819,3.525921421,8.274410784
Gen51,Site1,Loc1,Year1,DS,R1,11,3,112.6291287,99.62658986,11.51474473,5.641205045,3.482543603,5.401029116,5.174569256,8.977815099
Gen52,Site1,Loc1,Year1,DS,R1,12,3,136.2921343,89.08028617,11.24419098,5.286052549,4.806564841,5.750945475,5.478599648,8.612934437
Gen53,Site1,Loc1,Year1,DS,R1,13,3,95.24553452,104.569128,12.64897934,4.326127264,6.182007007,2.991174629,4.197394719,7.923226351
Gen54,Site1,Loc1,Year1,DS,R1,14,3,96.8136192,87.46696773,12.44419116,5.038945084,5.277660955,4.813912517,4.90293356,9.571790581
Gen55,Site1,Loc1,Year1,DS,R1,15,3,111.6255629,100.7977391,10.71009141,4.907067049,3.584137449,5.994214406,5.783181389,7.264401969
Gen56,Site1,Loc1,Year1,DS,R1,16,3,98.31397323,92.48283803,12.48447566,5.415284267,4.027114343,5.393485256,6.947510018,9.808426386
Gen57,Site1,Loc1,Year1,DS,R1,17,3,115.8568099,102.3790556,11.4069847,5.868937217,4.637508177,2.228960064,4.572098661,9.194495376
Gen58,Site1,Loc1,Year1,DS,R1,18,3,90.19756458,103.8262109,11.64295968,5.637458661,4.32772514,4.249820553,4.35136625,8.523773479
Gen59,Site1,Loc1,Year1,DS,R1,19,3,108.1204173,80.36240969,12.42462966,5.267766032,6.302771201,4.826071468,4.873630822,8.636060899
Gen60,Site1,Loc1,Year1,DS,R1,20,3,110.7081913,106.9438143,13.37417427,5.471220905,4.649832707,4.37986516,5.9385799,6.6410304
Gen61,Site1,Loc1,Year1,DS,R1,1,4,97.34242506,112.2200937,11.61788796,3.020279144,5.381609296,3.863448337,5.617900519,7.510382042
Gen62,Site1,Loc1,Year1,DS,R1,2,4,92.87850763,113.822273,12.68461304,4.883618013,4.658524753,4.175038467,5.461315516,9.199344006
Gen63,Site1,Loc1,Year1,DS,R1,3,4,101.1920836,116.6228276,12.9988337,5.328479746,5.182741948,4.634508001,4.20755599,6.608753849
Gen64,Site1,Loc1,Year1,DS,R1,4,4,119.7152782,123.7122701,9.69751003,5.438503506,3.842234186,4.940677551,3.74405754,9.205266082
Gen65,Site1,Loc1,Year1,DS,R1,5,4,112.2882661,99.04598639,12.24808935,6.964024603,5.725741241,7.610668625,6.303385289,6.994563649
Gen66,Site1,Loc1,Year1,DS,R1,6,4,95.27822111,87.55279163,9.534923956,4.807810241,6.41647694,3.749365031,4.885389047,8.062698441
Gen67,Site1,Loc1,Year1,DS,R1,7,4,107.4443631,78.57671253,14.42062201,5.555887014,3.875905803,5.42090925,4.316605657,7.484382693
Gen68,Site1,Loc1,Year1,DS,R1,8,4,125.4069862,85.6002319,13.17071822,6.035286685,6.720142518,4.873888188,5.429353302,7.236739119
Gen69,Site1,Loc1,Year1,DS,R1,9,4,119.2060499,113.1386567,12.41218218,5.137242719,4.376220898,3.825093774,3.567857119,6.888767929
Gen70,Site1,Loc1,Year1,DS,R1,10,4,108.2147318,99.79757239,12.43436257,6.099582781,5.487875097,5.823447919,5.656882475,8.568002711
Gen71,Site1,Loc1,Year1,DS,R1,11,4,92.51762919,85.54415889,11.21150106,2.783118995,3.677187192,3.703836508,2.79204774,6.739524329
Gen72,Site1,Loc1,Year1,DS,R1,12,4,87.48304872,125.2270644,11.74886043,5.402857361,5.28932319,2.799177867,4.400941265,7.92517566
Gen73,Site1,Loc1,Year1,DS,R1,13,4,108.3944182,98.30822955,11.63958104,4.146841295,3.844580076,4.815787853,4.006467766,8.873783041
Gen74,Site1,Loc1,Year1,DS,R1,14,4,100.9122959,88.67102212,11.91847971,6.382737213,4.984157942,3.809366809,4.418552849,7.410607896
Gen75,Site1,Loc1,Year1,DS,R1,15,4,85.92818086,101.5971022,13.16319849,5.715876799,5.273704649,4.509964269,5.030040635,8.053650978
Gen76,Site1,Loc1,Year1,DS,R1,16,4,87.1009447,80.9873826,11.5088832,5.255759937,5.930155136,6.417192689,5.431163968,7.759011668
Gen77,Site1,Loc1,Year1,DS,R1,17,4,71.81245089,83.19381175,11.7744116,4.905168342,4.76094509,4.730022798,4.884467796,8.085099845
Gen78,Site1,Loc1,Year1,DS,R1,18,4,90.26793063,81.39649217,12.71358206,3.942372007,6.188211855,5.660311487,7.394581041,8.015819478
Gen79,Site1,Loc1,Year1,DS,R1,19,4,97.74888471,99.08027127,13.46438408,6.726585145,5.015515753,5.459822522,6.927078593,8.092463824
Gen80,Site1,Loc1,Year1,DS,R1,20,4,124.6238106,93.8001733,12.68666211,5.551508823,4.435583484,7.65718962,3.828835265,7.289402357
Gen81,Site1,Loc1,Year1,DS,R1,1,5,85.76325626,101.0706894,11.4032022,4.390071417,7.311035546,5.509540923,2.857924651,9.700698216
Gen82,Site1,Loc1,Year1,DS,R1,2,5,102.0348306,92.68702511,10.77283047,5.821372324,5.195208545,4.603848128,4.356537203,9.584184258
Gen83,Site1,Loc1,Year1,DS,R1,3,5,94.24668696,90.11198085,11.57964482,4.92171566,5.97254731,4.969475446,6.469158399,8.763279599
Gen84,Site1,Loc1,Year1,DS,R1,4,5,95.4893034,95.78134289,11.90181493,5.163388904,5.838600074,5.229442269,5.988099971,8.340424901
Gen85,Site1,Loc1,Year1,DS,R1,5,5,103.784647,117.016228,12.07580553,3.691482943,3.788407021,5.165546893,4.196588139,8.298519426
Gen86,Site1,Loc1,Year1,DS,R1,6,5,95.53289166,85.344064,9.856041372,5.31503217,4.68598929,5.48564471,4.31725453,8.570996374
