Gname,Site,Location,Year,Season,Rep,RowBlock,ColBlock,DFL,PH,TN,BLAST,BLS,BLB,TUNGRO,YLD
Gen1,Site3,Loc3,Year1,DS,R1,1,1,111.7695562,103.4976626,13.00395354,4.565290099,6.056218063,5.138976131,6.251475046,6.717432294
Gen2,Site3,Loc3,Year1,DS,R1,2,1,107.0354461,111.6614038,11.92683668,4.050610704,6.051458862,7.062984085,5.459056519,6.70008904
Gen3,Site3,Loc3,Year1,DS,R1,3,1,90.16300939,87.79294147,13.20806395,5.861897486,7.681312912,5.852574272,5.129599037,9.158757328
Gen4,Site3,Loc3,Year1,DS,R1,4,1,84.78106799,65.45266053,12.24948144,5.999127332,5.130401208,6.298233048,5.773430817,9.452816942
Gen5,Site3,Loc3,Year1,DS,R1,5,1,101.972805,104.9463592,11.46819188,5.843524749,5.885311534,5.455804881,5.647510071,6.895022327
Gen6,Site3,Loc3,Year1,DS,R1,6,1,89.16847094,107.6065358,11.15974962,5.126489093,5.461424787,5.764302229,5.68961652,8.583264972
Gen7,Site3,Loc3,Year1,DS,R1,7,1,99.68181676,103.0792731,12.2118367,4.7336917,3.886290077,5.350210574,5.853350978,8.300074154
Gen8,Site3,Loc3,Year1,DS,R1,8,1,93.4168195,95.15454018,11.3714355,5.780815742,4.900194528,4.865069672,5.188361946,6.431533421
Gen9,Site3,Loc3,Year1,DS,R1,9,1,99.81560784,91.92514999,11.69576942,5.832481231,3.925327376,4.138835698,5.671698165,7.122685485
Gen10,Site3,Loc3,Year1,DS,R1,10,1,85.15165363,88.66355111,12.91113632,4.851003106,4.425361806,5.044485724,4.129811074,7.264501093
Gen11,Site3,Loc3,Year1,DS,R1,11,1,85.93636312,101.2180248,14.00328269,5.772095959,4.795371165,4.608407026,6.782760657,8.766152881
Gen12,Site3,Loc3,Year1,DS,R1,12,1,93.23246157,117.786068,12.69715105,5.662996084,4.254994013,5.784133445,5.323951437,8.037011574
Gen13,Site3,Loc3,Year1,DS,R1,13,1,102.7601681,106.1545001,12.52786627,5.921940595,2.503832041,5.683199631,3.476490324,5.888010216
Gen14,Site3,Loc3,Year1,DS,R1,14,1,111.5162857,91.90409419,10.85956172,4.643410869,5.241108536,4.816295377,5.516792006,7.174447866
Gen15,Site3,Loc3,Year1,DS,R1,15,1,107.0170166,89.14156621,13.82437882,3.996956017,5.093961848,5.111970725,4.583151941,8.798152446
Gen16,Site3,Loc3,Year1,DS,R1,16,1,108.1082552,93.37364918,12.39284489,3.748467823,7.88095589,4.284257394,4.249051558,7.497590849
Gen17,Site3,Loc3,Year1,DS,R1,17,1,99.56961466,105.3786084,10.93573298,4.66878126,6.199851105,3.292565837,2.739196312,7.532734809
Gen18,Site3,Loc3,Year1,DS,R1,18,1,98.40891275,87.62343675,11.34127665,4.391523048,5.228526424,5.754642684,6.254878801,5.959807392
Gen19,Site3,Loc3,Year1,DS,R1,19,1,109.8292605,109.1941665,11.35263782,6.170964767,5.48882945,6.030926725,5.80348413,6.457576053
Gen20,Site3,Loc3,Year1,DS,R1,20,1,100.745571,90.75792083,12.93378268,5.025870693,4.622459925,3.165712806,5.27668849,7.805817706
Gen21,Site3,Loc3,Year1,DS,R1,1,2,78.88883283,107.7402156,12.84277994,5.152401723,4.646619439,6.208794678,4.322086285,6.83741667
Gen22,Site3,Loc3,Year1,DS,R1,2,2,98.89041489,96.44868753,13.24706941,5.784507628,4.923555076,4.784872632,6.145381015,7.141375432
Gen23,Site3,Loc3,Year1,DS,R1,3,2,97.55272281,88.95362803,11.62756063,5.169343313,6.356268004,4.237512292,4.225810664,8.424122034
Gen24,Site3,Loc3,Year1,DS,R1,4,2,87.68218591,83.69637772,13.20120827,6.047042652,5.520865359,2.85031979,6.087285127,8.994536781
Gen25,Site3,Loc3,Year1,DS,R1,5,2,103.6414702,81.83264274,12.92885787,4.26253079,3.622463736,5.18343453,2.947734578,7.534959643
Gen26,Site3,Loc3,Year1,DS,R1,6,2,110.5708305,101.1129912,13.22883641,4.685275082,6.165401992,4.42122682,5.387225907,8.588746068
Gen27,Site3,Loc3,Year1,DS,R1,7,2,101.8019388,117.6355117,12.01266012,6.304943554,4.873221363,3.59931711,3.649080751,9.426520394
Gen28,Site3,Loc3,Year1,DS,R1,8,2,100.8789531,103.4416178,12.34795752,7.372124658,4.542917633,4.042051011,5.169282193,7.703850359
Gen29,Site3,Loc3,Year1,DS,R1,9,2,90.73899185,107.3291819,11.82629725,6.052065656,4.878572082,4.798335354,4.125942677,8.446718707
Gen30,Site3,Loc3,Year1,DS,R1,10,2,106.0754489,110.1550789,11.92408721,3.99041331,4.315677302,4.931675757,5.144466606,6.740945584
Gen31,Site3,Loc3,Year1,DS,R1,11,2,100.190745,109.4475954,11.85487962,4.913587487,4.567115918,4.316682118,6.110345266,7.240068768
Gen32,Site3,Loc3,Year1,DS,R1,12,2,108.6716931,80.89576952,12.1706466,4.082095436,4.448388733,6.435306475,4.547002062,6.912807204
Gen33,Site3,Loc3,Year1,DS,R1,13,2,105.9910829,99.62809677,10.77922634,6.201702975,3.817655968,6.16231685,3.927130231,7.828987522
Gen34,Site3,Loc3,Year1,DS,R1,14,2,105.8263402,111.2371671,11.82697174,4.009833931,4.308931897,4.878932614,5.222809828,8.370354053
Gen35,Site3,Loc3,Year1,DS,R1,15,2,113.2612459,116.5826321,12.18696361,6.946282255,4.678002873,6.67048584,6.338449685,8.213616228
Gen36,Site3,Loc3,Year1,DS,R1,16,2,102.9152574,100.8378428,11.84802385,5.06188887,3.539252692,3.815618202,6.622037997,8.867726401
Gen37,Site3,Loc3,Year1,DS,R1,17,2,108.1096498,92.50251017,11.80681869,3.71478453,5.666572664,5.72173843,6.573096493,8.142624088
Gen38,Site3,Loc3,Year1,DS,R1,18,2,108.2986955,95.83830455,12.17929709,6.420487659,5.114096594,4.044424603,5.192574414,8.576420967
Gen39,Site3,Loc3,Year1,DS,R1,19,2,110.2686258,115.5979139,11.58243362,4.0788149,4.691781759,5.960747813,4.343821967,6.583410927
Gen40,Site3,Loc3,Year1,DS,R1,20,2,93.18427922,105.2509022,12.15679305,5.454930351,5.075979615,4.445481078,5.52303964,7.998955164
Gen41,Site3,Loc3,Year1,DS,R1,1,3,82.37479821,92.87907809,11.60770266,4.332832497,6.792193426,5.944293292,4.85052038,7.246156607
Gen42,Site3,Loc3,Year1,DS,R1,2,3,92.32234597,90.6166461,12.18227464,4.064253234,4.41660863,6.597906146,4.949471364,8.577703978
