Gname,Site,Location,Year,Season,Rep,RowBlock,ColBlock,DFL,PH,TN,BLAST,BLS,BLB,TUNGRO,YLD
Gen1,Site1,Loc1,Year1,DS,R1,1,1,107.527516,115.4354382,11.57145184,4.48971377,3.706606015,4.697610449,5.585880504,6.9831158
Gen2,Site1,Loc1,Year1,DS,R1,2,1,113.9358043,89.08969404,11.32368273,4.883920758,5.7858132,6.39697318,3.897469105,7.352831515
Gen3,Site1,Loc1,Year1,DS,R1,3,1,88.05623944,87.61974635,12.25132806,5.042461229,4.419539539,3.969207139,7.559571981,7.801542302
Gen4,Site1,Loc1,Year1,DS,R1,4,1,77.22186121,90.81124202,12.54154745,6.142270489,5.333621131,5.500862818,4.520173937,7.707403391
Gen5,Site1,Loc1,Year1,DS,R1,5,1,101.5189706,118.7262017,11.87252654,4.904401001,5.226561194,4.848885198,5.116072538,8.270454874
Gen6,Site1,Loc1,Year1,DS,R1,6,1,110.0585324,107.5265995,10.88937793,3.526576175,4.349696492,4.334153614,7.55319631,7.356959731
Gen7,Site1,Loc1,Year1,DS,R1,7,1,94.37966619,79.59834023,11.22519271,6.008307589,4.077710973,6.066501092,3.277228774,7.735079381
Gen8,Site1,Loc1,Year1,DS,R1,8,1,98.30878999,103.9110495,11.05705804,3.379887943,6.10404438,4.803475998,3.411332412,6.714659282
Gen9,Site1,Loc1,Year1,DS,R1,9,1,107.3102052,88.52189726,11.51889305,3.904523444,5.990405092,4.96245132,4.751159325,9.542393312
Gen10,Site1,Loc1,Year1,DS,R1,10,1,107.4743975,94.28301226,12.39140005,4.79313696,5.810109054,7.746171142,5.376102172,9.351470214
Gen11,Site1,Loc1,Year1,DS,R1,11,1,99.1268443,75.29244713,10.66294528,4.170876077,5.573108202,6.349791282,2.884011031,7.855876408
Gen12,Site1,Loc1,Year1,DS,R1,12,1,100.3213132,103.7626993,12.39958268,5.72805179,4.571164648,5.899928691,5.541774815,9.854015376
Gen13,Site1,Loc1,Year1,DS,R1,13,1,107.4673488,103.8591833,12.80740477,5.797612274,4.359225551,4.822400608,6.021085153,8.000272225
Gen14,Site1,Loc1,Year1,DS,R1,14,1,87.01652465,94.12799394,13.03651891,5.6392987,5.086817489,8.776887065,5.974793637,8.432443795
Gen15,Site1,Loc1,Year1,DS,R1,15,1,100.9440334,93.86377794,12.56121296,3.709035029,5.505387278,3.809855434,6.11859774,7.183527843
Gen16,Site1,Loc1,Year1,DS,R1,16,1,115.2336546,108.8660363,11.63871189,4.073895644,6.348850931,5.48371611,3.559060053,7.921417695
Gen17,Site1,Loc1,Year1,DS,R1,17,1,100.0654303,105.9271676,12.31845149,3.500468644,4.918760083,5.711504968,3.73917973,7.619828029
Gen18,Site1,Loc1,Year1,DS,R1,18,1,84.92606477,99.30935918,10.60112931,5.631944055,4.99274503,5.35505277,5.917111181,8.803033904
Gen19,Site1,Loc1,Year1,DS,R1,19,1,93.48773669,97.4542614,11.89582755,5.872433944,6.993267312,6.088646328,5.137423577,9.216400028
Gen20,Site1,Loc1,Year1,DS,R1,20,1,86.6438219,115.4868017,10.08375757,5.091846053,4.740916413,3.456374795,6.277613866,8.616862602
Gen21,Site1,Loc1,Year1,DS,R1,1,2,89.91477587,88.529812,10.4408062,2.125152513,5.665774889,4.465625539,3.788978873,7.169189597
Gen22,Site1,Loc1,Year1,DS,R1,2,2,106.8546438,109.1141478,10.77933478,4.24856469,5.431968391,4.512733446,4.055924355,8.475542915
Gen23,Site1,Loc1,Year1,DS,R1,3,2,101.7604735,91.47061495,13.51029649,4.23121204,5.770167006,4.565364648,4.507404266,8.007623551
Gen24,Site1,Loc1,Year1,DS,R1,4,2,92.98297914,97.25764353,12.91073572,4.757000088,5.297628748,3.877114727,5.527872175,8.176956814
Gen25,Site1,Loc1,Year1,DS,R1,5,2,96.46339044,112.4992268,11.68347732,4.50459432,6.193095946,4.366565207,3.95408161,7.235742637
Gen26,Site1,Loc1,Year1,DS,R1,6,2,106.1862331,79.80610713,13.02144014,5.832399755,4.920833951,4.501138489,5.302959819,8.77225889
Gen27,Site1,Loc1,Year1,DS,R1,7,2,88.70088446,101.502374,12.82298302,6.269561504,3.479376826,6.453065974,5.787311086,5.854988382
Gen28,Site1,Loc1,Year1,DS,R1,8,2,115.0994903,100.0301226,12.31552022,5.219216225,4.699524762,5.016848199,5.423964637,7.959783172
Gen29,Site1,Loc1,Year1,DS,R1,9,2,87.28133801,97.95667642,13.13852875,5.021071405,3.854131375,5.057415629,4.1075708,7.770515581
Gen30,Site1,Loc1,Year1,DS,R1,10,2,111.4242652,86.06020438,11.35473053,4.714691855,6.455906154,4.283430849,5.328951435,6.300273643
Gen31,Site1,Loc1,Year1,DS,R1,11,2,92.10633256,114.4343293,13.11740781,2.46428641,5.571721043,4.490052556,5.405604423,7.880478253
Gen32,Site1,Loc1,Year1,DS,R1,12,2,91.93623937,74.60337479,10.74216046,5.576230115,3.155789305,3.734844351,5.304720312,6.460135265
Gen33,Site1,Loc1,Year1,DS,R1,13,2,107.2053021,101.0620227,12.96596482,3.556739202,6.630270662,6.559872765,5.779405631,8.313652054
