Gname,Site,Location,Year,Season,Rep,RowBlock,ColBlock,DFL,PH,TN,BLAST,BLS,BLB,TUNGRO,YLD
Gen1,Site3,Loc3,Year1,DS,R1,1,1,84.98677745,93.38053552,11.1360723,7.200517564,3.903251955,6.688809814,4.500990109,6.813762609
Gen2,Site3,Loc3,Year1,DS,R1,2,1,100.224094,86.5022492,13.02818473,4.77806303,2.748158682,4.315463139,4.41363445,9.294434969
Gen3,Site3,Loc3,Year1,DS,R1,3,1,93.98853283,104.2672608,12.08931933,4.774550951,3.651126828,2.981459136,4.44095567,8.956897909
Gen4,Site3,Loc3,Year1,DS,R1,4,1,99.60718314,99.0838744,11.81956434,4.634460782,3.50704935,6.063340989,5.428663904,7.509813713
Gen5,Site3,Loc3,Year1,DS,R1,5,1,116.4101098,97.35943911,11.19239491,5.138538692,5.759517106,4.714447646,5.803931499,8.325568612
Gen6,Site3,Loc3,Year1,DS,R1,6,1,101.1159661,101.4349627,12.77117269,3.913086059,5.594236954,5.579470516,5.144631397,7.231316076
Gen7,Site3,Loc3,Year1,DS,R1,7,1,114.7691242,89.99855531,12.32344397,6.711825299,2.403492311,4.97653785,5.023974045,8.567100096
Gen8,Site3,Loc3,Year1,DS,R1,8,1,107.4591721,92.59663877,12.24024807,6.38640659,1.990177788,5.44454231,4.92082608,8.280368417
Gen9,Site3,Loc3,Year1,DS,R1,9,1,103.726696,88.47216471,11.92085251,3.579090505,5.261412287,4.473683436,4.097405593,7.479605759
Gen10,Site3,Loc3,Year1,DS,R1,10,1,109.3759762,111.6199786,12.15381694,4.60236018,4.753547712,5.019917579,4.830754834,8.629455623
Gen11,Site3,Loc3,Year1,DS,R1,11,1,105.425733,68.9647868,11.73418687,3.344048876,5.907827821,5.983014667,6.604754384,9.175691326
Gen12,Site3,Loc3,Year1,DS,R1,12,1,98.35858389,90.39682505,12.63332159,6.104466018,5.349799081,6.338281813,2.976875703,8.766046272
Gen13,Site3,Loc3,Year1,DS,R1,13,1,88.78777339,87.32615315,11.96053509,5.202953332,3.711635238,4.836116806,5.23302098,8.22228161
Gen14,Site3,Loc3,Year1,DS,R1,14,1,124.6646325,97.20158393,13.18550702,5.994494045,4.90167801,6.908366363,2.988503172,7.613487912
Gen15,Site3,Loc3,Year1,DS,R1,15,1,108.7750916,94.03536856,11.94040751,4.963534626,5.200973218,4.829866149,4.791309314,9.067595456
Gen16,Site3,Loc3,Year1,DS,R1,16,1,98.95933296,98.97374588,12.29241161,4.5629091,4.244119881,4.487982143,6.7660292,7.794660196
Gen17,Site3,Loc3,Year1,DS,R1,17,1,85.92342546,106.6904381,11.05782216,5.258782628,4.885255803,4.478348728,4.904243949,6.666451817
Gen18,Site3,Loc3,Year1,DS,R1,18,1,108.1246026,95.29512038,12.22198488,6.948213638,4.714476225,4.022480648,4.718607284,8.303668857
Gen19,Site3,Loc3,Year1,DS,R1,19,1,103.1252385,97.72184893,12.05598556,4.590252564,6.281390084,5.390681935,4.608325731,10.0905371
Gen20,Site3,Loc3,Year1,DS,R1,20,1,93.81260578,102.3595772,11.85532955,6.004184533,3.84618487,5.50237391,4.83795435,8.05610599
Gen21,Site3,Loc3,Year1,DS,R1,1,2,114.769731,96.89039693,13.20206913,4.446564629,7.099226065,5.357983849,5.449390308,8.770900319
Gen22,Site3,Loc3,Year1,DS,R1,2,2,89.6809091,98.81166329,12.34906867,3.475934657,6.389647205,5.332647985,6.41936059,7.629977195
Gen23,Site3,Loc3,Year1,DS,R1,3,2,100.1017647,86.77378368,13.50470675,5.707917457,5.754934191,3.754297605,4.286046895,8.097600117
Gen24,Site3,Loc3,Year1,DS,R1,4,2,114.2551218,106.6049745,11.0908083,4.423779616,4.872092282,4.010376386,5.090362747,8.324588675
Gen25,Site3,Loc3,Year1,DS,R1,5,2,113.6724421,113.345568,14.49628161,5.719057223,3.449424084,5.137740389,6.188021399,8.979245539
Gen26,Site3,Loc3,Year1,DS,R1,6,2,98.33767938,101.3069391,12.71023387,5.865387339,3.459350707,5.284240334,6.919674354,7.572377565
Gen27,Site3,Loc3,Year1,DS,R1,7,2,103.7711023,88.31742587,12.32370934,6.221412543,5.914007542,4.250626278,5.235746859,7.654622819
Gen28,Site3,Loc3,Year1,DS,R1,8,2,99.79730106,90.88864076,10.79157011,5.508088751,4.581174166,6.348940053,4.487080914,7.766341667
Gen29,Site3,Loc3,Year1,DS,R1,9,2,93.43934204,98.26652271,12.20721034,4.958184399,5.294946551,4.75400572,5.798566131,7.204332283
Gen30,Site3,Loc3,Year1,DS,R1,10,2,99.0439631,104.4210541,12.34325669,4.435691066,4.106543032,4.779899054,4.738279542,6.553316207
Gen31,Site3,Loc3,Year1,DS,R1,11,2,103.6979228,110.0624869,10.9955155,6.635764193,4.030382101,6.333615482,3.024085732,9.697649934
Gen32,Site3,Loc3,Year1,DS,R1,12,2,94.85406213,114.9302736,12.99542416,5.569203119,6.154107558,5.008757412,2.584789814,6.552893992
Gen33,Site3,Loc3,Year1,DS,R1,13,2,99.91092571,114.6308339,13.55594377,5.082017804,4.363493853,6.016593434,4.519923984,8.798931668
Gen34,Site3,Loc3,Year1,DS,R1,14,2,87.36571889,90.20081885,11.96939747,5.410169894,4.843940107,4.648486802,6.456800195,7.223879962
Gen35,Site3,Loc3,Year1,DS,R1,15,2,105.3312803,99.67711938,12.69872961,4.363641052,4.769791445,5.579238096,3.19636044,6.479907071
Gen36,Site3,Loc3,Year1,DS,R1,16,2,93.84193661,104.1008738,13.95475371,4.85599559,4.701460489,3.516536107,3.565752618,9.231935655
Gen37,Site3,Loc3,Year1,DS,R1,17,2,96.99851766,92.45416716,10.79040033,3.835995149,5.814739082,5.933827732,5.887701958,8.599383338
Gen38,Site3,Loc3,Year1,DS,R1,18,2,97.58302186,118.7439168,12.6269779,5.373474477,4.59272966,6.346059299,4.461010983,8.37734014
Gen39,Site3,Loc3,Year1,DS,R1,19,2,81.18260322,97.94344765,12.63278415,7.101540019,6.484539979,4.57766264,5.69609641,8.354924195
Gen40,Site3,Loc3,Year1,DS,R1,20,2,108.3694948,106.844038,11.41133144,3.994149609,4.936385368,4.947121771,4.45299543,10.17345367
Gen41,Site3,Loc3,Year1,DS,R1,1,3,82.0749897,110.7836105,11.23990623,4.43892056,5.782625944,4.514481189,4.941266741,8.151475823
